name,bus0,bus1,c_nfkm,cables,frequency,from_relation,i_th_max_a,length,length_m,num_parallel,operator,osm_name,r_ohmkm,ref,s_nom,type,voltage,wires,wkt_srid_4326,x_ohmkm,x,r,b,s_max_pu,build_year,carrier,x_pu_eff,r_pu_eff,s_nom_opt,v_nom
299,224,223,,3.0,50.0,1638852.0,,46.981,46981.0,1.0,Amprion,Bienwald West,,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(8.3523338799966 49.4212743386606,8.27327814618118 49.0293980916396)",,14.141281,2.81886,0.00018449395557287762,0.7,0,AC,0.00029217522727272726,5.824090909090909e-05,495.366530965,220.0
300,226,6,5.75,3.0,50.0,1639492.0,0.65,48.552,48552.0,0.5,TenneT,Leitung 2001/2030,0.16,2001/2030,247.683265482,Al/St 240/40 2-bundle 220.0,220000.0,1.0,"SRID=4326;LINESTRING(9.79733602695253 52.0008392513306,9.91814864613865 52.3799963125719)",0.64,29.228303999999998,5.826239999999999,9.533162907318228e-05,0.7,0,AC,0.0006038905785123967,0.00012037685950413221,247.683265482,220.0
301,7,3,13.7,3.0,50.0,1639494.0,2.6,53.907,53907.0,1.0,TenneT,Leitung 3027,0.025,3027,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(9.91717971972185 52.2781686139394,9.38974509624863 52.0263130660355)",0.25,13.261121999999999,1.6172099999999998,0.00023370829254434967,0.7,0,AC,9.183602493074792e-05,1.1199515235457063e-05,1711.26619788,380.0
302,216,227,13.7,3.0,50.0,1641461.0,2.6,114.939,114939.0,1.0,Amprion,Donau Ost,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(9.1907874369222 48.914416873799,10.0821573264928 48.2660901578788)",0.25,28.274994,3.4481699999999997,0.000498306294855121,0.7,0,AC,0.0001958102077562327,2.3879293628808862e-05,1711.26619788,380.0
303,228,229,,3.0,50.0,1641462.0,,15.95,15950.0,1.0,Amprion,Bergstraße,,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(8.62716125806072 49.5435952670263,8.50180851652818 49.4449115114399)",,4.800949999999999,0.957,6.263550353094651e-05,0.7,0,AC,9.91931818181818e-05,1.977272727272727e-05,495.366530965,220.0
304,227,230,13.7,3.0,50.0,1641463.0,2.6,46.07,46070.0,1.0,Amprion,Günzburg Süd,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(10.0821573264928 48.2660901578788,10.391776056934 48.5184609117668)",0.25,11.33322,1.3820999999999999,0.00019973177950021685,0.7,0,AC,7.848490304709141e-05,9.571329639889195e-06,1711.26619788,380.0
305,231,53,27.4,6.0,50.0,1641466.0,5.2,83.096,83096.0,2.0,Amprion,Rheingraben,0.0125,,3422.53239576,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(7.95805402328778 47.5954722640613,7.75349546540486 48.0993557006259)",0.125,10.220808,1.24644,0.000720508441473845,0.7,0,AC,7.078121883656509e-05,8.63185595567867e-06,3422.53239576,380.0
306,232_220kV,233_220kV,,3.0,50.0,1641467.0,,19.756,19756.0,1.0,Amprion,Iller Ltg.,,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(10.0837512706734 48.268867515302,9.88551509756969 48.3040743584705)",,5.946556,1.18536,7.758163058039995e-05,0.7,0,AC,0.0001228627272727273,2.449090909090909e-05,495.366530965,220.0
307,234,235,,3.0,50.0,1641471.0,,69.709,69709.0,1.0,Amprion,Gurtweil - Stockach,,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(9.01340238045655 47.8453486310857,8.25192548128222 47.6397698264894)",,20.982409,4.18254,0.00027374660286136364,0.7,0,AC,0.000433520847107438,8.641611570247934e-05,495.366530965,220.0
308,236_220kV,214,,3.0,50.0,1641472.0,,86.251,86251.0,1.0,Amprion,Nord-Süd-Leitung RWE Hoheneck–Rheinau,,,495.366530965,Al/St 240/40 2-bundle 220.0,220000.0,2.0,"SRID=4326;LINESTRING(9.19675652645089 48.9129634380259,8.5471609252134 49.4405396661002)",,25.961551,5.17506,0.0003387068849559666,0.7,0,AC,0.0005363956818181818,0.00010692272727272727,495.366530965,220.0
309,227,230,13.7,3.0,50.0,1641474.0,2.6,46.128,46128.0,1.0,Amprion,Günzburg Nord,0.025,,1711.26619788,Al/St 240/40 4-bundle 380.0,380000.0,4.0,"SRID=4326;LINESTRING(10.0821573264928 48.2660901578788,10.391776056934 48.5184609117668)",0.25,11.347488,1.38384,0.00019998323257621018,0.7,0,AC,7.858371191135734e-05,9.58337950138504e-06,1711.26619788,380.0
